seed,replica,model,dim,w_mean,hdi_lo,hdi_hi
1,0,claude_haiku_4_5,anti_pobreza,0.7706667470715319,-0.6857092678083678,2.1262450332182037
1,0,claude_haiku_4_5,anti_deuda,0.08152858640296207,-1.84064343500201,2.12741524455297
1,0,claude_haiku_4_5,pro_aprobacion,-0.6923441038990024,-2.04520824581029,0.6300196445317605
1,0,claude_haiku_4_5,pro_crecimiento,-0.060983265536722425,-2.0870991481480075,1.7873997062838551
1,0,claude_haiku_4_5,anti_desviacion_inflacion,0.06064992610700307,-1.8100175782325885,2.0013973493098773
1,0,claude_haiku_4_5,pro_confianza,-0.004449830555464787,-1.8891830689459272,2.0158254429893887
1,0,gpt_4o_mini,anti_pobreza,2.0765009461496735,0.5195769509454942,3.417997185438079
1,0,gpt_4o_mini,anti_deuda,-0.006259157977405481,-1.9126411852480654,1.996603264808255
1,0,gpt_4o_mini,pro_aprobacion,-0.29005709832076887,-1.6451033782555082,1.0805508794005414
1,0,gpt_4o_mini,pro_crecimiento,0.056126888188596055,-1.8739181082375085,1.910216435266851
1,0,gpt_4o_mini,anti_desviacion_inflacion,-0.09354829796341488,-2.1983386027348195,1.6320681598936018
1,0,gpt_4o_mini,pro_confianza,0.04946576493146458,-1.9443117243585877,2.063883232933446
2,0,claude_haiku_4_5,anti_pobreza,1.9188234883367554,0.5965350387172152,3.318832822594968
2,0,claude_haiku_4_5,anti_deuda,0.05999715547919802,-1.9673887704170943,1.9056434402353806
2,0,claude_haiku_4_5,pro_aprobacion,0.26186256304918487,-1.1624551500128084,1.6115041560411039
2,0,claude_haiku_4_5,pro_crecimiento,0.22539012873166508,-1.7661796003996255,2.034755811733368
2,0,claude_haiku_4_5,anti_desviacion_inflacion,0.044637389444952054,-1.8824086350548563,1.9804508153054847
2,0,claude_haiku_4_5,pro_confianza,0.04863499035132951,-1.8376923055320433,1.998087085812721
2,0,gpt_4o_mini,anti_pobreza,2.365787926549713,1.0004310441301,3.752240303606061
2,0,gpt_4o_mini,anti_deuda,-0.021310235845898393,-2.0401233842010487,1.8463032730479798
