model,dim,n_seeds,w_mean,w_std,ic95_lo,ic95_hi
claude_haiku_4_5,anti_desviacion_inflacion,10,0.08833203094146422,0.052501035883215884,0.05884359820700664,0.11919399096979083
claude_haiku_4_5,anti_deuda,10,0.060752998488516306,0.02589257044270853,0.04599913666618008,0.07556594729229091
claude_haiku_4_5,anti_pobreza,10,1.1987394887682956,0.4975134339015163,0.9050734580002416,1.499612301357497
claude_haiku_4_5,pro_aprobacion,10,-0.054403599217637766,0.34128750469953206,-0.25740434720170063,0.14218655693450358
claude_haiku_4_5,pro_confianza,10,0.004785749525377905,0.03795258583957066,-0.017568629226205192,0.02657844163749463
claude_haiku_4_5,pro_crecimiento,10,0.01865098942326559,0.14275847054677257,-0.06316859522293723,0.10404744394610944
gpt_4o_mini,anti_desviacion_inflacion,10,-0.027253794129843655,0.035583056262512264,-0.04847962197827016,-0.0070716728756624716
gpt_4o_mini,anti_deuda,10,0.002121477895753611,0.029617820125067862,-0.014849641819620486,0.02010135983177299
gpt_4o_mini,anti_pobreza,10,2.118018568281607,0.1950444032359025,2.0082155161818434,2.2402265853774863
gpt_4o_mini,pro_aprobacion,10,-0.0825845266336777,0.3556184432697814,-0.2730931824165648,0.1335981185179401
gpt_4o_mini,pro_confianza,10,0.036610991899821074,0.026497734970007715,0.02186015996354959,0.05228134245753776
gpt_4o_mini,pro_crecimiento,10,0.1192421506372762,0.07795770741774667,0.07257851307594466,0.16782584671870393
