model,seed,drop_idx,n_turnos_kept,cosine_dir_K4_vs_K5,skipped,rhat_max_K4,ess_bulk_min_K4
claude,12,4,3,0.9849633270277639,,1.0,1663.0
openai,12,0,8,0.9994563551432113,,1.01,1947.0
openai,12,1,8,0.9994279527641297,,1.01,1697.0
openai,12,2,1,,too_few_turns,,
openai,12,3,8,0.999085665936728,,1.0,1619.0
openai,12,4,7,0.9984899615818726,,1.01,1485.0
claude,13,0,8,0.9973694908865117,,1.0,1963.0
claude,13,1,8,0.9946729086915782,,1.0,1547.0
claude,13,2,5,0.997402838142963,,1.0,1589.0
claude,13,3,8,0.98689988708277,,1.0,1674.0
claude,13,4,3,0.9911494850326972,,1.0,2015.0
openai,13,0,8,0.9988835813038123,,1.01,1904.0
openai,13,1,8,0.9973383945307361,,1.0,2157.0
openai,13,2,3,0.6837215759710392,,1.0,1564.0
openai,13,3,8,0.9973115669372542,,1.0,1555.0
openai,13,4,5,0.9708481301793712,,1.0,1972.0
claude,14,0,8,0.9917384866060817,,1.0,1734.0
claude,14,1,8,0.9898466312611288,,1.01,1816.0
claude,14,2,6,0.9929707601347145,,1.0,1553.0
claude,14,3,8,0.9669906398657463,,1.0,2090.0
claude,14,4,2,0.9689165268626395,,1.0,1323.0
openai,14,0,8,0.9968011023296645,,1.0,1931.0
openai,14,1,8,0.9948799363639604,,1.0,1665.0
openai,14,2,3,0.9772531511543961,,1.0,1707.0
openai,14,3,8,0.9989889563673898,,1.01,1864.0
openai,14,4,5,0.9823734347427685,,1.0,1795.0
claude,15,0,8,0.9726591346053645,,1.0,1802.0
claude,15,1,8,0.815039660107069,,1.0,1743.0
claude,15,2,8,0.8282860735697946,,1.01,1653.0
claude,15,3,8,0.6820084198140464,,1.0,1699.0
claude,15,4,0,,too_few_turns,,
openai,15,0,8,0.9994518350508852,,1.0,1690.0
openai,15,1,8,0.9987482152992435,,1.0,1473.0
openai,15,2,2,0.9180653395487554,,1.0,1450.0
openai,15,3,8,0.9973988880082215,,1.0,1766.0
openai,15,4,6,0.9956204736348329,,1.0,1649.0
claude,16,0,8,0.9971681291231963,,1.0,1634.0
claude,16,1,8,0.9848308282497366,,1.0,1529.0
claude,16,2,5,0.8461324199204069,,1.0,1848.0
claude,16,3,8,0.9984990662254226,,1.0,1723.0
claude,16,4,3,0.9892465573273869,,1.01,2108.0
openai,16,0,8,0.9993670468164486,,1.0,1508.0
openai,16,1,8,0.9985019957550577,,1.0,2006.0
openai,16,2,2,0.9752101892430467,,1.01,1476.0
openai,16,3,8,0.9992839165632492,,1.0,1565.0
openai,16,4,6,0.9970396687063123,,1.0,1952.0
claude,17,0,8,0.9934671309231696,,1.0,1893.0
claude,17,1,8,0.9976750719034047,,1.0,1791.0
claude,17,2,5,0.8730241636420158,,1.0,1824.0
claude,17,3,8,0.9552536411768512,,1.0,1528.0
claude,17,4,3,0.9574423827636781,,1.0,1627.0
openai,17,0,8,0.9993252823624165,,1.0,1488.0
openai,17,1,8,0.9994794372851062,,1.0,1603.0
openai,17,2,2,0.6539804905073633,,1.0,1848.0
openai,17,3,8,0.9917575443090275,,1.0,1761.0
openai,17,4,6,0.959549912631398,,1.0,1967.0
claude,18,0,8,0.998848675803633,,1.01,2122.0
claude,18,1,8,0.9960862473822704,,1.0,1665.0
claude,18,2,3,0.7044147501151719,,1.0,1756.0
claude,18,3,8,0.9989708644367795,,1.0,1537.0
claude,18,4,5,0.9957091575381013,,1.0,1906.0
openai,18,0,7,0.9946577680685906,,1.0,1504.0
openai,18,1,8,0.9984284677116165,,1.0,1574.0
openai,18,2,2,0.48800518162973056,,1.0,1789.0
openai,18,3,8,0.9943494607835733,,1.0,1711.0
openai,18,4,7,0.9947144208831084,,1.0,1442.0
claude,19,0,8,0.9988611651998864,,1.0,1703.0
claude,19,1,8,0.9982862645606889,,1.0,1640.0
claude,19,2,4,0.895209023760917,,1.0,1827.0
claude,19,3,8,0.9852824651944194,,1.01,1849.0
claude,19,4,4,0.9852356466759284,,1.0,1868.0
openai,19,0,8,0.9980698610617079,,1.01,1536.0
openai,19,1,8,0.9946156463235482,,1.0,2083.0
openai,19,2,4,0.982923386174725,,1.0,1619.0
openai,19,3,8,0.9957232121080507,,1.01,1380.0
openai,19,4,4,0.9918333183509251,,1.01,2295.0
claude,20,0,8,0.9988394946954374,,1.01,1423.0
claude,20,1,8,0.9960810488984924,,1.01,1524.0
claude,20,2,3,0.5812230929332932,,1.01,1969.0
claude,20,3,8,0.9943710267677051,,1.0,1492.0
claude,20,4,5,0.956338958669136,,1.0,1871.0
openai,20,0,8,0.9995643186312954,,1.0,1706.0
openai,20,1,8,0.9988585943764304,,1.01,1701.0
openai,20,2,2,0.5822801107276612,,1.0,1867.0
openai,20,3,8,0.9939178982389756,,1.0,1850.0
openai,20,4,6,0.9936410094512302,,1.0,1813.0
