turn,razonamiento_chars,n_keywords_detectadas,cos_per_turn,w_raz_anti_pobreza,w_raz_anti_deuda,w_raz_pro_aprobacion,w_raz_pro_crecimiento,w_raz_anti_desviacion_inflacion,w_raz_pro_confianza
0,86,0,,0.0,0.0,0.0,0.0,0.0,0.0
1,86,0,,0.0,0.0,0.0,0.0,0.0,0.0
2,86,0,,0.0,0.0,0.0,0.0,0.0,0.0
3,86,0,,0.0,0.0,0.0,0.0,0.0,0.0
