feature,tau_mean,tau_hdi95_lo,tau_hdi95_hi
anti_pobreza,0.30268709726412807,0.00039707611306153475,0.7450442040338335
anti_deuda,0.7657308688222986,0.0008943496758895282,1.9512361357210215
pro_aprobacion,0.16855334340259967,6.441897334964632e-05,0.4262627870687432
pro_crecimiento,0.6737938053503145,0.00031919732033383965,1.6907585547119501
anti_desviacion_inflacion,0.8490824749114341,0.002204560187228563,2.0705470993707453
pro_confianza,0.7699562902508188,0.001630363253045182,1.984035963537574
