N,k,converged,cos_to_true,cos_err,l2_err_direction,w_norm,error
50,0,True,0.9826894188886094,0.01731058111139061,0.18606762808930835,1.119925631888954,
50,1,True,0.8891700860123015,0.11082991398769848,0.47080763372676615,0.7452999877354785,
50,2,True,0.973068691528266,0.026931308471733972,0.23208321124861203,1.270121672502752,
50,3,True,0.9344083757734594,0.06559162422654063,0.3621922810512139,1.0259707396459732,
50,4,True,0.9082859207737232,0.09171407922627683,0.42828513685692354,0.8485232322988494,
50,5,True,0.9057955303023261,0.09420446969767393,0.4340609858019352,1.0007059788959844,
50,6,True,0.8861964625360232,0.11380353746397676,0.4770818325276637,0.954154466797532,
50,7,True,0.9365695612947963,0.0634304387052037,0.35617534643824983,0.9045342102181176,
50,8,True,0.8917550830512367,0.10824491694876326,0.46528468048875893,0.9159492642181032,
50,9,True,0.9594534607494807,0.04054653925051932,0.2847684647236043,1.205832584265395,
50,10,True,0.96833260661401,0.031667393385990006,0.25166403551556543,1.0422643025880076,
50,11,True,0.9787618557099542,0.02123814429004578,0.20609776461692064,0.9479675856637603,
50,12,True,0.5708960429070331,0.4291039570929669,0.9263951177472461,0.9391343450260771,
50,13,True,0.9396297315276276,0.06037026847237237,0.3474773905518815,1.1787884040492134,
50,14,True,0.9039903462078744,0.09600965379212556,0.4382000771157528,1.0154814991273244,
50,15,True,0.9180340022376953,0.08196599776230473,0.4048851633792096,0.8300587233639865,
50,16,True,0.95109910406437,0.04890089593562996,0.3127327802953501,1.1137502548615383,
50,17,True,0.9546654572898711,0.04533454271012893,0.3011130774646929,1.1033511294862595,
50,18,True,0.9388773683707153,0.06112263162928466,0.3496359009863965,1.1488186721240017,
50,19,True,0.9488365679291916,0.05116343207080842,0.3198857048097287,1.3431620870921743,
50,20,True,0.7959829842961076,0.2040170157038924,0.6387754154691496,1.4255099822854018,
50,21,True,0.9460125559933479,0.05398744400665212,0.328595325610856,0.9941259055045991,
50,22,True,0.965889542054803,0.03411045794519696,0.2611913396159869,1.5256742454541294,
50,23,True,0.9231635868392184,0.0768364131607816,0.3920112579015597,1.2861809028077114,
50,24,True,0.9323329673643319,0.06766703263566809,0.3678777857812785,1.148795322748794,
50,25,True,0.9264419657684246,0.07355803423157536,0.38355712542351583,0.7665840639095944,
50,26,True,0.9683546463107171,0.031645353689282896,0.2515764444032191,1.1526435213239974,
50,27,True,0.9203804200566565,0.07961957994334345,0.39904781654168586,1.4315173125610354,
