N,replication,rmse,cosine_similarity,angle_degrees,norm_ratio,log_likelihood_at_w_hat
50,0,0.2551320610327915,0.9679170695958144,14.552669132474719,1.002632611324632,-37.849861878276954
50,1,0.30024966167465894,0.985017996312872,9.930389709317549,1.2286790168533264,-33.31594832606679
50,2,0.27930799718035465,0.9720750103684594,13.572191969609376,0.8236057277521531,-44.49227079141808
50,3,0.1872676166306558,0.9830760958176182,10.556071300748778,0.9498594063407968,-41.17753280591201
50,4,0.13651214611564663,0.992326573038438,7.102486455368551,0.9363561709093963,-40.35062401135376
50,5,0.1672317753122093,0.9960267814686933,5.109198274859295,1.1364308529257,-33.489427018675926
50,6,0.22152685227684146,0.9770187443988867,12.307214013701257,0.9215764862631396,-37.14907543250568
50,7,0.2809366888765583,0.9683948183672119,14.443328573126374,1.094107862780321,-36.243982576180265
50,8,0.32129490323871834,0.977165563732979,12.267686376708156,1.2156870255004475,-36.1819123889482
50,9,0.44550688640957,0.9745997920873436,12.941357695496592,1.3567415014611486,-29.0821848394193
100,0,0.1969822647617219,0.9846975052081598,10.036311368003682,1.0740491684603466,-75.99052805772631
100,1,0.1526462286148203,0.9884628202804642,8.711759740727834,0.9979974741328829,-77.16189303011211
100,2,0.1372919328219882,0.9913107206702924,7.558654371512394,0.9548600712517443,-73.22670171112499
100,3,0.14766981728118278,0.9933893294624618,6.59173782234734,0.9018619511558055,-80.92921688729795
100,4,0.1464180320143435,0.9923891545490972,7.073427598786527,1.0700244924862046,-75.4881212489949
100,5,0.19589017631522346,0.9915942241124418,7.4341482717063565,1.1371605137441807,-64.07895975844679
100,6,0.0627662021569457,0.9987547999028369,2.8595801833218224,1.0362423251118056,-76.56107381521394
100,7,0.3316622678008291,0.9846553429269712,10.05016366891915,1.2644364575158882,-61.62986887923447
100,8,0.16662761523269115,0.9872975205321292,9.14203065964013,0.9403830292367629,-88.29062837994218
100,9,0.12226492864040353,0.9983106221663465,3.3309045329765508,1.1050833746746835,-74.01734235193044
200,0,0.18632433401653248,0.9883655726132263,8.748469900060101,1.0941148259446607,-145.07332652855564
200,1,0.1653190791183361,0.9991117208505967,2.4151522707155983,0.8402424315249769,-182.2408517455133
200,2,0.19057823409791796,0.9923183130104943,7.106313053252299,1.135834340443927,-140.44351736110227
200,3,0.1762170944981538,0.9845913006421002,10.071168508854393,0.9952867569735078,-153.8060929094466
200,4,0.129590058456468,0.9981748334463849,3.4622223706068955,1.1119857102190578,-143.6217307408569
200,5,0.11294586034654187,0.9946840330927591,5.91046083179952,0.9498958603172318,-166.474511806048
200,6,0.05145500977248868,0.9992020723431333,2.289013065560855,1.0311687228225146,-155.1424490808017
200,7,0.12939113056276155,0.9919391962935202,7.279791909034902,1.0141284330037672,-161.25608451682254
200,8,0.12687425214672213,0.9941096867110335,6.221860011832098,0.9295689121862613,-163.97815929170326
200,9,0.13936166891600635,0.9942406216833309,6.152251672827513,1.0820592722265612,-150.6152041700832
500,0,0.08764953696595104,0.9974172143731767,4.118843863599657,1.0467623862037005,-374.18112029331036
500,1,0.09500827647004872,0.9983505634465475,3.2912824257214903,0.9233417335231996,-411.3658119811236
500,2,0.06732677257400417,0.9978177041926987,3.785937593851893,1.0088082092286954,-378.802654022282
