seed,replica,model,dim,w_mean,hdi_lo,hdi_hi
1,0,claude_haiku_4_5,anti_pobreza,0.9314741754302125,-0.4559063849525684,2.292714353919655
1,0,claude_haiku_4_5,anti_deuda,0.06402483129439983,-1.8882410050027465,1.9438212757448365
1,0,claude_haiku_4_5,pro_aprobacion,-0.6547416988819967,-2.066887412833701,0.6767934187497393
1,0,claude_haiku_4_5,pro_crecimiento,-0.14510526936474208,-2.1237639140984843,1.610303209401477
1,0,claude_haiku_4_5,anti_desviacion_inflacion,0.053992006093515996,-1.919967921801254,1.9382781863274146
1,0,claude_haiku_4_5,pro_confianza,-0.04438637285638556,-2.1081026363770925,1.9081453001094248
1,0,gpt_4o_mini,anti_pobreza,1.7761238770880727,0.503955562678133,3.256230184786003
1,0,gpt_4o_mini,anti_deuda,0.03310640915309194,-1.7928412938884084,2.1150867229608368
1,0,gpt_4o_mini,pro_aprobacion,-0.470359189065055,-1.8988024306833677,0.9406668684006884
1,0,gpt_4o_mini,pro_crecimiento,-0.10399585587024089,-2.013376974654671,1.6489488981593121
1,0,gpt_4o_mini,anti_desviacion_inflacion,0.09105976568061479,-1.7839212228986077,2.0547887892394265
1,0,gpt_4o_mini,pro_confianza,-0.019907555412185893,-1.9271530780686184,1.9071095387186163
2,0,claude_haiku_4_5,anti_pobreza,1.6176034125478733,0.24432935461389357,2.9945398412235136
2,0,claude_haiku_4_5,anti_deuda,0.04224781368661901,-1.8183213910089813,2.0411405238542275
2,0,claude_haiku_4_5,pro_aprobacion,-0.028417438113011506,-1.3826126523278943,1.364205406794142
2,0,claude_haiku_4_5,pro_crecimiento,0.06357133764107857,-1.8832730300045712,1.958462854788767
2,0,claude_haiku_4_5,anti_desviacion_inflacion,0.08031855043877947,-1.8396092669889512,1.9675807712984668
2,0,claude_haiku_4_5,pro_confianza,0.023193565135822967,-1.9932871487596175,1.8731267835030674
2,0,gpt_4o_mini,anti_pobreza,2.0926371229511984,0.6558146269560324,3.469618227062915
2,0,gpt_4o_mini,anti_deuda,0.031110893898267426,-1.8646620623691321,2.0141051740322444
2,0,gpt_4o_mini,pro_aprobacion,-0.1909167196583401,-1.5728623711190786,1.2836060156011015
2,0,gpt_4o_mini,pro_crecimiento,0.05212498969365482,-1.895703745266346,1.8761133191899289
2,0,gpt_4o_mini,anti_desviacion_inflacion,-0.07379455408530534,-2.0396866003343863,1.802282035496024
2,0,gpt_4o_mini,pro_confianza,-0.00043014791259691717,-2.0577320021839913,1.8422501920244743
3,0,claude_haiku_4_5,anti_pobreza,0.7895168807989531,-0.5984401649750903,2.1994239061074534
3,0,claude_haiku_4_5,anti_deuda,0.07232756986407576,-1.976917269053082,1.9616736954705036
3,0,claude_haiku_4_5,pro_aprobacion,-0.3323980611198225,-1.7188663227677894,0.9561537435690701
3,0,claude_haiku_4_5,pro_crecimiento,-0.037771481732872196,-1.8981822023287584,1.9070053887893421
3,0,claude_haiku_4_5,anti_desviacion_inflacion,0.024179768357210658,-1.9234389948135104,1.9072232796792246
3,0,claude_haiku_4_5,pro_confianza,0.007967339908815079,-2.0226243049066435,1.9300471622833877
3,0,gpt_4o_mini,anti_pobreza,2.3923742542307855,0.9638582226594387,3.8136496089048855
3,0,gpt_4o_mini,anti_deuda,-0.00792437066252267,-1.829070541526687,2.0712050052691207
3,0,gpt_4o_mini,pro_aprobacion,-0.03898372429204879,-1.4803770123062157,1.3789710887446551
3,0,gpt_4o_mini,pro_crecimiento,0.13183522412590995,-1.8144757542624352,2.03084884154478
3,0,gpt_4o_mini,anti_desviacion_inflacion,8.131897413629979e-05,-1.908442456829559,1.754069698386979
3,0,gpt_4o_mini,pro_confianza,0.02627360575249192,-1.995823519307031,2.0482725565626034
4,0,claude_haiku_4_5,anti_pobreza,1.4453357821380468,0.07371368043505228,2.8193346007774136
4,0,claude_haiku_4_5,anti_deuda,0.05563944938772544,-1.9048190541563088,2.02062209075755
4,0,claude_haiku_4_5,pro_aprobacion,0.3414581027952994,-1.0452800657103423,1.740231011482518
4,0,claude_haiku_4_5,pro_crecimiento,0.0433106209958935,-1.859401642805906,1.8893891141648915
4,0,claude_haiku_4_5,anti_desviacion_inflacion,0.13436011652266683,-1.6752928398079832,2.090605247025787
4,0,claude_haiku_4_5,pro_confianza,0.017998382422535604,-1.8997251192203128,1.947631523569315
