metric,n_pairs,median_diff_claude_minus_openai,cliffs_delta,rank_biserial_r_rb,magnitude_cliffs,pvalue_wilcoxon
score_b1_regret,20,-1.1924299762394173,-0.9,-0.9809523809523809,large,5.7220458984375e-06
score_b2_lift,20,-1.1906268859988391,-0.9,-0.9809523809523809,large,5.7220458984375e-06
agreement_llm_vs_b1,20,-0.375,-0.85,-1.0,large,0.00027783232428085596
l1_vs_minfin,20,-1.5,-0.75,-0.9869281045751634,large,0.0003435297568856937
cos_vs_minfin,20,0.02179171536804031,0.75,0.9869281045751634,large,0.00034751466681850937
