model,axis,n_seeds,median,iqr_low,iqr_high,cliffs_delta_within,rank_biserial_within,magnitude,wilcoxon_p_within
claude,B1_regret (score_llm - score_b1),20,-1.8379723498735934,-2.402655057731222,-1.4099409932478073,-1.0,-1.0,large,1.9073486328125e-06
claude,B2_lift (score_llm - score_b2),20,1.7016175640417024,1.1538768835065711,2.143097504659577,1.0,1.0,large,1.9073486328125e-06
claude,B3_cosine_vs_MINFIN (raw),20,0.790574072807617,0.7770005758350658,0.793375038540836,,,n/a,
openai,B1_regret (score_llm - score_b1),20,-0.7327729670972163,-1.0589468361455956,-0.43460533649858935,-0.95,-1.0,large,3.814697265625e-06
openai,B2_lift (score_llm - score_b2),20,2.8088466192176362,2.498203407264757,3.1230352351844015,1.0,1.0,large,1.9073486328125e-06
openai,B3_cosine_vs_MINFIN (raw),20,0.7674720320268361,0.7565191858797661,0.7770005758350658,,,n/a,
