seed,model,prior_sigma,cos_to_sigma1
15,openai,2.0,0.9990135819754398
15,openai,5.0,0.9354663992107374
15,openai,10.0,0.6481627923787652
16,claude,0.1,0.9898899953641055
16,claude,0.25,0.9963557807954548
16,claude,0.5,0.9974270526553126
16,claude,2.0,0.9915618676787548
16,claude,5.0,0.814307065993501
16,claude,10.0,0.5621257306199902
16,openai,0.1,0.9978035721016694
16,openai,0.25,0.9992771370332144
16,openai,0.5,0.9999165212140884
16,openai,2.0,0.9940451435407458
16,openai,5.0,0.8648654635893307
16,openai,10.0,0.5949722761194222
17,claude,0.1,0.9673149948104509
17,claude,0.25,0.988139260243085
17,claude,0.5,0.9964196388801878
17,claude,2.0,0.9591214342690318
17,claude,5.0,0.6116167393821954
17,claude,10.0,0.4026681383942307
17,openai,0.1,0.9995081793393091
17,openai,0.25,0.9989425098045029
17,openai,0.5,0.9996067283475449
17,openai,2.0,0.998903846349996
17,openai,5.0,0.9844027237829669
17,openai,10.0,0.9245650256417284
18,claude,0.1,0.9936748556682433
18,claude,0.25,0.9993631598774403
18,claude,0.5,0.9994709505358399
18,claude,2.0,0.9982724066514685
18,claude,5.0,0.9666886251857533
18,claude,10.0,0.7404807779479959
18,openai,0.1,0.9982993982300845
18,openai,0.25,0.9999200107613717
18,openai,0.5,0.999504100065461
18,openai,2.0,0.9960062835640365
18,openai,5.0,0.910208292632681
18,openai,10.0,0.670066093287971
19,claude,0.1,0.9973053629093253
19,claude,0.25,0.9983864896605883
19,claude,0.5,0.999517460658605
19,claude,2.0,0.9917046582686901
19,claude,5.0,0.8050118705124278
19,claude,10.0,0.454520139958453
19,openai,0.1,0.9965280523404347
19,openai,0.25,0.997299506860074
19,openai,0.5,0.9984108543785575
19,openai,2.0,0.9905935520550098
19,openai,5.0,0.7844732837202665
19,openai,10.0,0.4521407461702445
20,claude,0.1,0.9753862880201642
20,claude,0.25,0.9948997746672178
20,claude,0.5,0.9954807992845032
20,claude,2.0,0.983179678239048
20,claude,5.0,0.6915404866034156
20,claude,10.0,0.41608703106372735
20,openai,0.1,0.997634761828444
20,openai,0.25,0.9982293277426705
20,openai,0.5,0.9991359175421693
20,openai,2.0,0.9915999202716436
20,openai,5.0,0.8334208731053566
20,openai,10.0,0.5238288952475804
