model,dim,n_seeds,w_mean,w_std,ic95_lo,ic95_hi
claude_haiku_4_5,anti_desviacion_inflacion,20,0.13366598264028554,0.05292738944257025,0.10922872932561026,0.15519277852173224
claude_haiku_4_5,anti_deuda,20,0.051925263592529504,0.051869559427418284,0.029844152115635077,0.07376001329453649
claude_haiku_4_5,anti_pobreza,20,0.5753624582619137,0.3421786144969753,0.4359262973760111,0.7227074794521949
claude_haiku_4_5,pro_aprobacion,20,-0.16715884442971957,0.22728407450688745,-0.2650335711620049,-0.06698691010369245
claude_haiku_4_5,pro_confianza,20,-0.039690614089523304,0.03011517494365056,-0.05228571771117522,-0.025884849213212727
claude_haiku_4_5,pro_crecimiento,20,-0.14689717998260973,0.10781675055098851,-0.1920491059562771,-0.10046446721568719
gpt_4o_mini,anti_desviacion_inflacion,20,0.004531803631869891,0.03971522869459032,-0.011039073067680101,0.022991072748336724
gpt_4o_mini,anti_deuda,20,-0.01993708868638465,0.021457690073082295,-0.028494789744468268,-0.010103394678718732
gpt_4o_mini,anti_pobreza,20,2.5237463199894608,0.11231815694989311,2.4744248852328834,2.5669949060400934
gpt_4o_mini,pro_aprobacion,20,-0.06467449442539419,0.08917388796119559,-0.09920615780535293,-0.023571490519050414
gpt_4o_mini,pro_confianza,20,0.018193196127598055,0.017250616687624964,0.010903402433110276,0.025630597728498374
gpt_4o_mini,pro_crecimiento,20,0.048320113870381466,0.046124309652597305,0.028657336182219717,0.06716502419100187
